pid,draft_year,was_drafted
P2e38feab3a,2022,0
P76ebdc8d77,2022,1
P3698c87daf,2022,0
P9d848af991,2022,1
P9e732e040b,2022,0
P6521ad0003,2022,0
P8d79cd923c,2022,0
P7c29e11a29,2022,1
Pe22f69b7a0,2022,1
Pd3eb42d2a8,2022,1
P13f00227af,2022,0
P836329e077,2022,0
Pfd5185bdf5,2022,0
Pc064a30c43,2022,0
P4e8883caf8,2022,1
Pab39ee5462,2022,1
Paf2b091294,2022,0
P20596267f7,2022,1
P16b88a2183,2022,1
Pfa7a6f2536,2022,1
P12c0373e62,2022,1
Pbfdaa31fd0,2022,1
Pce7c8a9da0,2022,1
P919e355315,2022,1
P86df290cda,2022,1
Pa95793f720,2022,1
P7d4b1d6e8f,2022,1
Pa408da26a2,2022,1
Pae46fa4aa5,2022,1
P5cba6e4b4b,2022,1
P3a3a5bbbef,2022,1
P14882ceff6,2022,1
P1191691c20,2022,1
Paac5dcb74c,2022,1
P3a5b76349f,2022,1
Pe3c0fc5a9e,2022,1
Pa6b76d042d,2022,1
Pd6b4848f72,2022,1
P8c8d5105c2,2022,1
Pa89859be17,2022,1
P50d6953351,2022,0
P8be99fecd0,2022,1
Pa5128e8532,2022,1
Pa2e8c74c1f,2022,1
Pa067c50f94,2022,1
Pd5316f2e65,2022,1
Pa06f6a14b5,2022,0
P3b1e823247,2022,1
P9345155d6a,2022,1
Pdd8eeaed18,2022,1
Pafb050f1ad,2022,1
Pbccc770021,2022,0
P19ae0a39ff,2022,0
P76f8234113,2022,1
P4b5f95e771,2022,1
P868c7d320b,2022,0
Pe54f989cc8,2022,0
Pc25f9380ba,2022,0
P416088a2b5,2022,1
P123f055136,2022,1
Pc69570e4d2,2022,1
P9a2935e78c,2022,1
Pdeabbe5993,2022,0
P70fa3dc827,2022,1
Pc5f6ac0bb7,2022,1
Pc99b219586,2022,0
P22caf129cd,2022,0
P97df826a61,2022,1
P63014948f5,2022,1
P0234a21988,2022,0
P32ad967364,2022,0
P6876f611cb,2022,1
Pd4287ba490,2022,1
P821b19c2a1,2022,0
Paee04abbe6,2022,1
P9f0e3aa432,2022,0
P8683784c59,2022,0
P47d96f257b,2022,0
P98f4c6dfa5,2022,0
Pc60f6451c1,2022,0
P017b3a2bee,2022,0
Pfc4c07b799,2022,0
Pc44acb797a,2022,0
P719dac14cb,2022,0
P328e73174e,2022,0
P39f2672d8d,2022,0
P750617fadd,2022,0
P7c732b276f,2022,0
P93a0142eda,2022,0
Pec93c68939,2022,0
P539be6c711,2022,0
P96bc00aaed,2022,0
P6b997b8b4f,2022,0
P3e1b393a8c,2022,0
P3ebbedffb1,2022,0
Pe2f97b33d4,2022,0
P54ce020bc4,2022,0
