pid,draft_year,was_drafted
P539176b694,2020,0
Pdd324c8c3a,2020,0
Pcf413465aa,2020,0
P007123cefb,2020,0
Pa5bdbe06a8,2020,0
P6142a39d2b,2020,0
P173da90181,2020,1
P0fec6c7ff1,2020,0
P9d5ce33ec0,2020,1
P076dcdb147,2020,0
P9cddcdc1ad,2020,1
P98391b949f,2020,0
Pc5171d01c1,2020,0
Pe3d286e6c8,2020,0
P2943e264b5,2020,0
P72ce5af049,2020,0
P35f0fb7731,2020,1
P3ff36ffdc1,2020,1
Pba698d642d,2020,1
Pfe5913c014,2020,1
Pa430d00e1f,2020,1
P41612ab4e2,2020,1
P6232d5a44f,2020,1
P1388f2fd26,2020,1
Pd70c9ef8df,2020,1
P7699b7f669,2020,1
P272ac40c3c,2020,1
Pb7d583a85a,2020,1
Pe6c9de6d86,2020,1
P388cb0d5da,2020,1
Pad0b972baf,2020,1
Pde7308c87b,2020,1
Pa3fa433740,2020,1
P289da7f9c1,2020,1
P04526b8576,2020,1
P3c885ec031,2020,1
P0cd98a270c,2020,1
Pa7dbf13041,2020,1
P0df73941d8,2020,1
Pc2d24d5902,2020,1
P429838957d,2020,1
P48772fff87,2020,1
P90a7395cb0,2020,1
P32d7e7e1eb,2020,1
Pdc083a80a9,2020,1
Pe0b660d280,2020,1
Pe237a28a37,2020,1
P63236d3a70,2020,1
P170284fab5,2020,1
P842bafbfda,2020,1
P866e6f90bf,2020,1
Pb3e461d4cf,2020,1
P716f6175e4,2020,1
P69f4c7679c,2020,1
Pf46613d969,2020,1
Pdc49b6ecb0,2020,1
P34a08a87d4,2020,0
Pc74b3d476e,2020,0
Pee12c1b431,2020,1
P80eaeaa85d,2020,0
P2b95cb9990,2020,1
Pceb9387e05,2020,0
P4cd6438cc3,2020,0
P1f88525e9f,2020,1
P1cf3ac09b1,2020,1
P5be180758a,2020,1
P04282e0cbf,2020,1
P2ca61183dc,2020,1
P9580c6ee97,2020,0
P2cd53b2728,2020,0
P641ed83c9a,2020,1
Pc09cd8c6d0,2020,0
P625909539a,2020,1
P63a2ab1a2a,2020,0
Pf75af7bb1f,2020,0
P16e9d60aa9,2020,0
P4f020a46a6,2020,0
Pa8a4b42a31,2020,0
P198bb02a0c,2020,1
P8884c4fd03,2020,1
P3bfc12237e,2020,1
P04b95b58e0,2020,1
Pc2faa1488c,2020,0
P12d4263452,2020,0
P56764c9c75,2020,0
P3eb05301ef,2020,0
Pba89c73461,2020,0
P9c6ee0d9a6,2020,0
P837f74ef42,2020,0
Pe6009787c4,2020,0
Pf77538a69a,2020,0
P2900148dca,2020,0
P08bc96e9be,2020,1
P87be528da0,2020,1
P4722b5d5ff,2020,0
Pc4f35f8bd3,2020,0
P8943f8c99a,2020,0
Pa974d0f28b,2020,0
P4ddb9bf638,2020,0
Ped501e46cc,2020,0
P9d7519067e,2020,0
P92b5b7a56d,2020,0
P5fdfb73e8f,2020,0
P5b50a9b58b,2020,0
Pd3cfd798be,2020,0
P9b1073be42,2020,0
Pc76c8c8711,2020,0
P51e6803c0a,2020,0
P2dd8b69701,2020,0
P770d276313,2020,0
P051c4d4903,2020,0
Pa9f698b274,2020,0
