pid,draft_year,was_drafted
P9305edebac,2023,0
Pc4ba85a58f,2023,1
Pae8a88e0e7,2023,0
P2dc9628338,2023,0
Pc51154c628,2023,0
P18c14dbf8f,2023,1
P8bf21cf88b,2023,0
P2890042448,2023,0
P57690f53ec,2023,0
P5dad28f6cf,2023,0
P5d94de4385,2023,0
P51e5ade0ce,2023,1
P4e9a2418a1,2023,0
P5698276a02,2023,1
Pe8ffde2213,2023,0
P2db6f2cc8f,2023,1
P3fd81a75e9,2023,0
P3dd06c5ebd,2023,1
P9aef7770b8,2023,0
P47a1cc70a3,2023,1
P26ad072598,2023,1
Pd5f2794063,2023,1
P3860306e22,2023,0
P396ba96b58,2023,1
P441a89e79f,2023,0
P9d84442310,2023,0
P0fe65d2eb8,2023,1
Pf213d802cd,2023,0
P8a6f0b4919,2023,0
P9052f13021,2023,0
Pbf5a7a4d5b,2023,1
P4ff854eadf,2023,0
P850a7a2631,2023,0
Pb3227aeb5d,2023,0
P144ed94c77,2023,1
P664a2ede66,2023,1
Pe60cc64195,2023,1
P1999b4880f,2023,1
P9180c4596b,2023,1
Pa813594724,2023,1
Pfdcf13c664,2023,1
P71f8c1b48d,2023,1
P7200ebcdd8,2023,1
P1e59a7a7a1,2023,1
P7bf5b1ca03,2023,1
Pf0ef0714b6,2023,1
P523c5eb5e6,2023,1
P655613d84a,2023,1
P0b253c1504,2023,1
P6b4a74f110,2023,1
P0035c2f0b3,2023,1
Pdcc28d7d6b,2023,1
Pd742da0a27,2023,1
P6187cee451,2023,1
P9a144a10c5,2023,1
Pa4e79c2199,2023,1
P9b886526e3,2023,1
Pb4a7c38947,2023,1
P659b205e3c,2023,1
Pf85863f4bd,2023,1
P7075ac01b8,2023,1
Pdd1f325a63,2023,1
Pa6029bb5a6,2023,1
P96b57657ed,2023,0
P7589e6b4d5,2023,0
P737b0588be,2023,1
P07bb9cb58f,2023,1
Paf99c23c4d,2023,1
Pc074e62881,2023,1
P7c2cc1d590,2023,1
P89e5a35bc7,2023,1
P0db0d3c576,2023,1
Pbcdd20a9f9,2023,1
Pe1411c667e,2023,0
P2a6c79e3dc,2023,1
P0e1f032d1f,2023,1
Pf9f33f79e7,2023,1
Pe356195976,2023,1
P1424b0c02d,2023,0
P16bfe45561,2023,0
P684bfaf734,2023,0
Pc451072a63,2023,0
Pf92c037d4b,2023,0
Pb7b7147bb1,2023,0
Pe46a376580,2023,1
Paf63a5d230,2023,1
P59007d3b10,2023,0
P3a22280810,2023,0
P88b17e8559,2023,0
P4e1f6ff7ed,2023,0
P0252f7ff7f,2023,0
P52f2ddbdea,2023,0
P7f722372b8,2023,0
P55fe66b9ce,2023,0
Pf091cf9935,2023,0
Pf07b0c62fd,2023,1
P41704425e7,2023,0
P7329b5e7c4,2023,0
P4d55024373,2023,0
P4048f3366a,2023,0
Pa12a517258,2023,0
