pid,draft_year,was_drafted
Pf1dc83702a,2024,0
P44f988dfdd,2024,0
Pebbeab0c5c,2024,0
P086a09588e,2024,1
P8b3507dca4,2024,1
Pf8707c5a5f,2024,0
Pedbe6303e0,2024,0
P67a293c7ae,2024,0
P3bedf956bf,2024,1
Pe275ca2256,2024,0
Pc19f23edb3,2024,0
Pfd3b474513,2024,1
Pc2cfb81ac1,2024,0
P079058f390,2024,0
Pa93866e530,2024,0
P84e9dcbb3e,2024,1
P1ccfa6c1ee,2024,1
P4bbcd3bc18,2024,1
Pdf5a3388b3,2024,1
Pd62847824a,2024,1
P2382218b2e,2024,0
P66484e16cb,2024,0
P13f5a8ca49,2024,1
Peb437378ff,2024,0
P218d8c92b9,2024,0
P1a8fd8dc98,2024,1
Pb1001f743e,2024,1
Pe64515ec9d,2024,0
Pb1d497dd3b,2024,0
P82e84aa110,2024,1
P0edbaa5011,2024,1
P72ec1785e5,2024,0
P414be319a7,2024,1
Pa5d4a8fef6,2024,1
Pe083952d4c,2024,1
P79c8ced5ce,2024,0
Pca5928b452,2024,0
P51e90d8f38,2024,0
P68ff50da96,2024,1
P92095a9676,2024,0
Pbe0b54a1e9,2024,0
P8b23f27bc8,2024,0
Pc19957985f,2024,0
P23152d31e2,2024,1
P65b97df144,2024,1
Pd018d62aee,2024,1
P7a95b991f4,2024,1
Pa245962e52,2024,1
P473649a3ff,2024,1
P2a77fa93f7,2024,1
P74240d498b,2024,1
P9f04775c7a,2024,1
P4bd2cd3d34,2024,1
P429241cb33,2024,1
P32ff4229d3,2024,1
Pb0cd5d409b,2024,1
P2bc6f2a3aa,2024,1
Pa3f4257d20,2024,1
Pf4a65045a1,2024,1
P523c7506e7,2024,1
P58407301c7,2024,1
Pada60a9da7,2024,1
P35654567c0,2024,1
Pd1401169e8,2024,1
Pb1c5565b99,2024,1
P8cc9424d6a,2024,0
Pf120e8dc11,2024,1
P4b73f3a250,2024,1
P9fc884bebd,2024,1
P0d7bcc4d57,2024,1
Pbdde11b624,2024,1
Pdbf2a4e286,2024,0
P470eca3f49,2024,1
Pa306b38c4f,2024,0
Pcf591b3097,2024,1
P367a636ba4,2024,1
Pf7cf72315c,2024,1
P7070c905f3,2024,1
Pe79de9d05b,2024,1
P0bcbee5c83,2024,1
Pafffac98b2,2024,1
P816913601a,2024,0
P0f6f43de8d,2024,1
P26b4659b22,2024,0
Pd3d2fde686,2024,0
P31a95da41b,2024,0
Pd4ca66045e,2024,0
P0e202d21b8,2024,0
P7572949d92,2024,1
Pd3ead775c1,2024,0
P2524393d71,2024,0
P6696ce1e71,2024,0
Pdff50197cb,2024,0
Pbdf853cdec,2024,0
Pe8e75a6d90,2024,0
P233044615c,2024,0
P732be498cd,2024,0
Pf99c720027,2024,0
P1c48d6e24b,2024,0
Pe6c95cf044,2024,0
P99ed7bd6ab,2024,0
P7f11916058,2024,0
P2c7c71307b,2024,0
P424c3aa3f2,2024,0
Peae8be2d88,2024,0
P75990d7854,2024,0
Paed8dc8f7e,2024,0
Pa757d2e68d,2024,0
Pf59a3a471e,2024,0
Pb8bba3b38a,2024,0
Pae3adc3ef4,2024,0
P36a4ba5e62,2024,0
P1c44c138bb,2024,0
Pf372901c0b,2024,0
