candidate_id,draft_year,membership_basis,source_id,source_available_date,source_population_complete,global_identity_resolved
prior_2007_005666d815d1e7cd12d8,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_04d03128f840f06c44f4,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_059fcf3b8dcdac333c1c,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_08563e9e32f5a8faa86d,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_0928f79acf3e0b412d2c,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_0a305b07a3999b0225f5,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_0a3dbcc3ce3ac46abd5d,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_0a9c7cef79eab074e68a,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_0daca32d0c1e238195ca,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1a78aef1529c3aa7448b,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1c57c98b78fa33420a00,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1c983f61f798c85a1079,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1d12c42cf3beb917713c,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1de7be53785e7ae89146,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_1eea61b00521afa487bb,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_2142c391fd90719e4d9e,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_308414dd624336d98dae,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_30b42738055cf2c581a8,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_3751a5ba11c4580ac5c5,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_38d0e57439290118cc58,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_421a3bd3d17753ccd2ae,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_4d6541873ba843d30bfb,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_4dea81beffc05d6db344,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_4e7edbf5ad8aa83a0369,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_53d0b7a727db43b90438,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_5458c2849875c26abfc2,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_5cf41d15fbfe38ab8128,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_5e19389f0722c31c91f7,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_608fdbdcc701eb5bc671,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_635c8284c3cc7600f24c,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_667ad25342b4894fa686,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_732214fa4ed6c7d61c0c,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_774fa212ce2219b1219b,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_886031ada11c78c9e5a2,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_88c9ba642ca216d0bbdc,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_8aa1a0e3077b9412afe7,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_8f65de03df035938a49a,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_998acd7629a8174b3c21,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_a6d1ed24f47e02aad2c7,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_a773f21c6a7c7f257f09,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_a9514be1516bbb61b05d,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_aeb529f9858074e441b0,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_b2f15e820c03f32f8a85,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_b8b1b2fe55f43e8384ec,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_bb9d58766645244b8da1,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_bf64a3adb47b1203f563,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_c13b4eddca17f27bef58,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
prior_2007_c5ba3659ae077243e521,2007,prior_actual_draft_selection,bucks_2007_08_guide,2007-10-31,True,False
