file,url,season,kind,bytes_uncompressed,bytes_gz,rows,sha256_uncompressed,fetched_utc,robots_allowed,crawl_delay_s,user_agent
raw/advconf_2008.csv.gz,https://barttorvik.com/getadvstats.php?year=2008&conyes=1&csv=1,2008,player_season_conference_only,1435924,573402,4195,b35274e75024cbbbdbd285b715229f44ebb9dfc6e1ca0b2af64bf50430c34fd6,2026-09-09T06:43:37Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2009.csv.gz,https://barttorvik.com/getadvstats.php?year=2009&conyes=1&csv=1,2009,player_season_conference_only,1477470,589539,4316,ed70cf87362705edf8cc6faacac1a864834d060bcf3979dfbae311882d303691,2026-09-09T06:43:49Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2010.csv.gz,https://barttorvik.com/getadvstats.php?year=2010&conyes=1&csv=1,2010,player_season_conference_only,1633007,655859,4387,66d2d3e4eeccf9b6b002a2aea41edcf5904e1d01973004921213d6c17c8b3786,2026-09-09T06:44:04Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2011.csv.gz,https://barttorvik.com/getadvstats.php?year=2011&conyes=1&csv=1,2011,player_season_conference_only,1602781,645890,4298,380ff6d7e85bc322d37d968f9b17384fd7151a293f0b37e1f2131e80bf28f248,2026-09-09T06:44:18Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2012.csv.gz,https://barttorvik.com/getadvstats.php?year=2012&conyes=1&csv=1,2012,player_season_conference_only,1623174,654868,4350,f2ad83491f7724aa0186403754c81da9e54af0b8897ea52f3d39aaa029f65781,2026-09-09T06:44:31Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2013.csv.gz,https://barttorvik.com/getadvstats.php?year=2013&conyes=1&csv=1,2013,player_season_conference_only,1627373,656887,4351,0417c217ed527a9aa1dd43b1776daee4fab9005cccec054f3d72f37e0218912a,2026-09-09T06:44:45Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2014.csv.gz,https://barttorvik.com/getadvstats.php?year=2014&conyes=1&csv=1,2014,player_season_conference_only,1669481,671127,4465,0302a9d293e3ba9d949cb8cd753eaec7119921f0f87d9860f5884656a3576931,2026-09-09T06:44:59Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2015.csv.gz,https://barttorvik.com/getadvstats.php?year=2015&conyes=1&csv=1,2015,player_season_conference_only,1673276,672059,4459,f56d714d1871736c1886562018ea33f3365591f781615081e85fe47807687e97,2026-09-09T06:45:12Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2016.csv.gz,https://barttorvik.com/getadvstats.php?year=2016&conyes=1&csv=1,2016,player_season_conference_only,1670227,671727,4434,9bcd3de8eaa7cfbf18328f1a8bb855cc9a9fe9ae87decb1d72d8395c7776764f,2026-09-09T06:45:27Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
raw/advconf_2017.csv.gz,https://barttorvik.com/getadvstats.php?year=2017&conyes=1&csv=1,2017,player_season_conference_only,1670006,668883,4442,dc5dcfb6c158abf1d09e39b2380a5bbdcadf6ba0958c9efc2de0c7ea26db5c70,2026-09-09T06:45:41Z,yes (only db/box/results/playerstat/teamcast/time-machine/*.json are disallowed),10,DraftDB-research/1.0 (contact: mike@alphax.inc) non-commercial NBA draft research
