pid,season,k,score
P5cd98708f1,2019,5,0.8103448275862069
P1ddfe32e8c,2019,5,0.10344827586206896
P4a79c6caeb,2019,5,0.603448275862069
P14a01dedf9,2019,5,0.20689655172413793
P5277c76d51,2019,5,0.7413793103448276
Pbea2d75e26,2019,5,0.6637931034482759
P76650bc6e2,2019,5,0.39655172413793105
P8a97dbabe6,2019,5,0.46551724137931033
P18facb688d,2019,5,0.5344827586206896
P224fa713e4,2019,5,0.1206896551724138
Pdee21247bb,2019,5,0.034482758620689655
P273938bb97,2019,5,0.8362068965517241
P00e7133fc6,2019,5,1.0
Pa9cae64430,2019,5,0.7844827586206896
P2f61c21e93,2019,5,0.6206896551724138
Pfe4fcea486,2019,5,0.896551724137931
P846172a369,2019,5,0.6637931034482759
P43dec358d1,2019,5,0.8793103448275862
Pbc4309c829,2019,5,0.9655172413793104
Peecc71d248,2019,5,0.9827586206896551
P9540818d9f,2019,5,0.7068965517241379
P297d12820e,2019,5,0.5172413793103449
Ped6b9a1a7c,2019,5,0.9137931034482759
P6f1d3c64d2,2019,5,0.9482758620689655
P4ebfdd4833,2019,5,0.8620689655172413
Pa4c28f80ad,2019,5,0.5517241379310345
P714602a9aa,2019,5,0.4827586206896552
P6a5f6ac2d8,2019,5,0.5
P7c5888ec9d,2019,5,0.7844827586206896
Pd17e70140c,2019,5,0.15517241379310345
Pba03162225,2019,5,0.3275862068965517
Pb15c668c3a,2019,5,0.3793103448275862
P2c24c6affb,2019,5,0.13793103448275862
Pd50729b5d0,2019,5,0.27586206896551724
Pe661d7acde,2019,5,0.5862068965517241
P2f4b26e6e1,2019,5,0.2413793103448276
Pb69fbd28c6,2019,5,0.22413793103448276
P5c11762ec9,2019,5,0.29310344827586204
Pb16e641fe9,2019,5,0.8362068965517241
Pb14f594f0a,2019,5,0.7241379310344828
P8209ad6040,2019,5,0.6379310344827587
P338a42b9d0,2019,5,0.1724137931034483
Pab169ed872,2019,5,0.017241379310344827
Pd88f1bdac2,2019,5,0.3620689655172414
P7ff4af5e7c,2019,5,0.08620689655172414
Pefa2378416,2019,5,0.05172413793103448
P90a39c14ab,2019,5,0.5689655172413793
P9b3e496395,2019,5,0.43103448275862066
P2084d7c5fc,2019,5,0.06896551724137931
P4832cf3ea3,2019,5,0.9310344827586207
Pf6db5ed983,2019,5,0.3448275862068966
P4797fb50d3,2019,5,0.25862068965517243
P023bbe5ec1,2019,5,0.7586206896551724
Pf1b3205a09,2019,5,0.6896551724137931
P027da49c30,2019,5,0.41379310344827586
P2bdd03741b,2019,5,0.3103448275862069
P6336d0d324,2019,5,0.4482758620689655
P277650e4b3,2019,5,0.1896551724137931
P173da90181,2020,5,0.6379310344827587
P9d5ce33ec0,2020,5,0.7068965517241379
P9cddcdc1ad,2020,5,0.10344827586206896
P35f0fb7731,2020,5,0.6551724137931034
P3ff36ffdc1,2020,5,0.896551724137931
Pba698d642d,2020,5,0.9827586206896551
Pfe5913c014,2020,5,0.6896551724137931
Pa430d00e1f,2020,5,0.5086206896551724
P41612ab4e2,2020,5,0.5689655172413793
P6232d5a44f,2020,5,0.9482758620689655
P1388f2fd26,2020,5,1.0
Pd70c9ef8df,2020,5,0.9310344827586207
P7699b7f669,2020,5,0.8620689655172413
P272ac40c3c,2020,5,0.7758620689655172
Pb7d583a85a,2020,5,0.6724137931034483
Pe6c9de6d86,2020,5,0.603448275862069
P388cb0d5da,2020,5,0.5862068965517241
Pad0b972baf,2020,5,0.1724137931034483
Pde7308c87b,2020,5,0.46551724137931033
Pa3fa433740,2020,5,0.22413793103448276
P289da7f9c1,2020,5,0.5086206896551724
P04526b8576,2020,5,0.7327586206896551
P3c885ec031,2020,5,0.5517241379310345
P0cd98a270c,2020,5,0.43103448275862066
Pa7dbf13041,2020,5,0.1206896551724138
P0df73941d8,2020,5,0.5344827586206896
Pc2d24d5902,2020,5,0.05172413793103448
P429838957d,2020,5,0.3620689655172414
P48772fff87,2020,5,0.08620689655172414
P90a7395cb0,2020,5,0.9137931034482759
P32d7e7e1eb,2020,5,0.7586206896551724
Pdc083a80a9,2020,5,0.4827586206896552
Pe0b660d280,2020,5,0.7931034482758621
Pe237a28a37,2020,5,0.41379310344827586
P63236d3a70,2020,5,0.27586206896551724
P170284fab5,2020,5,0.8793103448275862
P842bafbfda,2020,5,0.20689655172413793
P866e6f90bf,2020,5,0.3103448275862069
Pb3e461d4cf,2020,5,0.13793103448275862
P716f6175e4,2020,5,0.8448275862068966
P69f4c7679c,2020,5,0.8103448275862069
Pf46613d969,2020,5,0.7327586206896551
Pdc49b6ecb0,2020,5,0.3793103448275862
Pee12c1b431,2020,5,0.25862068965517243
P2b95cb9990,2020,5,0.034482758620689655
P1f88525e9f,2020,5,0.9655172413793104
P1cf3ac09b1,2020,5,0.017241379310344827
P5be180758a,2020,5,0.8275862068965517
P04282e0cbf,2020,5,0.39655172413793105
P2ca61183dc,2020,5,0.3275862068965517
P641ed83c9a,2020,5,0.4482758620689655
P625909539a,2020,5,0.29310344827586204
P198bb02a0c,2020,5,0.15517241379310345
P8884c4fd03,2020,5,0.1896551724137931
P3bfc12237e,2020,5,0.06896551724137931
