pid,cons_mock_rank_std,cons_mock_rank_range
P42b9d239c3,1.0,2
P43b2e2aa2f,2.872281323269014,6
P43dec358d1,0.5773502691896258,1
P445f167264,4.949747468305833,7
P4467431c36,1.0,2
P44ea7b86af,,0
P459acdec33,0.0,0
P45a39b68c1,0.4999999999999999,1
P46cfb45fde,0.7071067811865476,1
P470eca3f49,6.34428877022476,15
P473649a3ff,1.8973665961010275,5
P47380ec945,1.4142135623730951,2
P479c1cba2f,6.363961030678928,9
P47a1cc70a3,2.1213203435596424,3
P47c5a2733b,,0
P4832cf3ea3,1.2909944487358056,3
P484d9844af,,0
P48772fff87,,0
P48e78aee32,,0
P495dd3afc8,7.637626158259733,15
P49b4c451ec,1.0,2
P49d50fc2b5,3.5355339059327378,5
P4a000d48b0,2.8284271247461903,4
P4a125216bc,,0
P4a1b07df85,,0
P4a79c6caeb,1.8257418583505538,4
P4b59f5fe56,2.8284271247461903,4
P4b5f95e771,3.5449494589721118,10
P4b73f3a250,4.725815626252609,10
P4bbcd3bc18,6.284902544988268,17
P4bd2cd3d34,,0
P4d03279429,5.507570547286102,11
P4d55024373,,0
P4e09db2338,0.816496580927726,2
P4e35bd6add,13.0,23
P4e8883caf8,5.357238094391549,13
P4ebe015218,,0
P4ebfdd4833,2.0816659994661326,5
P4ec4ee54f1,0.7071067811865476,1
P50c2524b85,1.7320508075688772,3
P50d6953351,,0
P519f028bfb,2.1213203435596424,3
P51e5ade0ce,0.0,0
P523c5eb5e6,2.1213203435596424,3
P523c7506e7,3.723797345005051,9
P5277c76d51,3.3166247903554,7
P5351e63d76,6.363961030678928,9
P539176b694,,0
P539be6c711,,0
P53f54898a1,,0
P53f786523f,0.0,0
P54240b8a24,4.43471156521669,10
P5480a34012,6.429100507328637,12
P5492e07ad3,0.7071067811865476,1
P54ce020bc4,,0
P54d4de841c,0.0,0
P551a484de7,3.5355339059327378,5
P55d017c927,0.5773502691896257,1
P55d1c5e102,,0
P55f0d03e7b,,0
P5698276a02,7.7781745930520225,11
P5699f03b57,2.081665999466133,5
P57ab80ef44,0.0,0
P58407301c7,2.7325202042558927,7
P58604dcdcf,4.949747468305833,7
P58e5b2eaa8,3.605551275463989,7
P5a277fef0e,,0
P5a591d3e24,0.0,0
P5be180758a,2.4494897427831788,5
P5c11762ec9,7.14142842854285,15
P5cba6e4b4b,4.833908011812665,15
P5cd98708f1,3.696845502136472,8
P5d94de4385,,0
P5da3d9ffcd,,0
P5e4a09f56c,0.5773502691896255,1
P5f230da818,5.656854249492381,8
P5f9ce00466,3.366501646120693,7
P5ff9cbca0f,,0
P606c98790a,8.888194417315589,17
P60da7b4537,0.0,0
P6146f5260f,,0
P6187cee451,0.7071067811865476,1
P61add2364f,5.686240703077327,11
P61afdc25a4,0.5,1
P61d8f8df57,4.949747468305833,7
P620501ed0d,0.0,0
P621ab8f1c3,,0
P6232d5a44f,2.0,4
P624b2b5afe,,0
P63014948f5,6.658328118479392,12
P63236d3a70,,0
P63f00af37c,5.656854249492381,8
P64263ced9d,0.49999999999999994,1
P648e1b1924,,0
P64adb31e4d,5.656854249492381,8
P64f9a357ca,,0
P6521ad0003,,0
P655613d84a,3.5355339059327378,5
P659b205e3c,,0
P65b97df144,0.0,0
P66484e16cb,3.511884584284247,7
P664a2ede66,0.0,0
P6680e3073f,10.598742063723098,21
P6696ce1e71,,0
P6786e0dd88,0.7071067811865476,1
P679974836f,3.559026084010437,7
P67cf99c3eb,0.0,0
P67e5a8f825,,0
P6876f611cb,,0
P688b157768,13.435028842544403,19
P68ff50da96,4.9295030175464944,12
P694212af03,2.5166114784235836,5
P69549f38f2,4.112987559751022,9
P69f4c7679c,1.154700538379251,2
P6a3fce0af3,2.8284271247461903,4
P6a5f6ac2d8,2.0816659994661326,5
P6ab3598ab0,1.4142135623730951,2
P6b4a74f110,2.8284271247461903,4
P6b5b70ee01,2.1213203435596424,3
P6ddd309f80,3.3040379335998353,7
P6e7d02b021,2.1213203435596424,3
P6f1d3c64d2,2.6299556396765835,6
P6f43cf2ee3,2.8284271247461903,4
P6f92e02de4,1.4142135623730951,2
P6f990ff013,15.947831618540915,29
P705a98169f,,0
P7070c905f3,3.304037933599835,7
P7075ac01b8,,0
P70fa3dc827,5.630275304103699,15
P71399e9935,7.7781745930520225,11
P714602a9aa,0.816496580927726,2
P716f6175e4,5.656854249492381,8
P71b16faf7a,2.8284271247461903,4
P71f8c1b48d,5.656854249492381,8
P721d8fa8f9,2.629955639676583,6
P72ec1785e5,,0
P737b0588be,2.8284271247461903,4
P74240d498b,3.96232255123179,10
P74d19df6a2,4.242640687119285,6
P75527a2d8c,3.785938897200182,7
P7572949d92,,0
P7589e6b4d5,,0
P75990d7854,,0
P75b2e5cfed,2.5166114784235836,5
P76650bc6e2,,0
P7699b7f669,0.816496580927726,2
P76ebdc8d77,12.793227374930325,28
P76f8234113,6.833739825307955,18
P77f7109f5b,,0
P7a95b991f4,1.7224014243685082,5
P7ba2fa977b,3.366501646120693,7
P7bf5b1ca03,0.7071067811865476,1
P7c29e11a29,,0
P7c2cc1d590,,0
P7c5888ec9d,2.8284271247461903,4
P7d4b1d6e8f,1.169045194450012,3
P7d77f683c0,0.7071067811865476,1
P7dcdc4ccdd,0.9574271077563381,2
P7ff4af5e7c,6.3508529610858835,11
P8048267828,5.477225575051661,12
P816913601a,,0
P8209ad6040,2.081665999466133,4
P821b19c2a1,,0
P82bbff96e6,5.291502622129181,10
P82dc635a40,11.757976016304848,26
P82e84aa110,9.609023536933051,19
P832ba46d69,,0
P83cf60968a,,0
P842bafbfda,5.852349955359813,12
P846172a369,0.5,1
P84b2e1b413,2.1213203435596424,3
P84e9dcbb3e,9.549869109050658,19
P8534216773,,0
P854a3a23a2,0.816496580927726,2
P855a9cc2ba,,0
P85fbcb1dce,,0
P866e6f90bf,,0
P868c7d320b,,0
P86df290cda,2.0,5
P86ef73625c,5.656854249492381,8
P87ada0d006,1.0000000000000002,2
P87be528da0,1.5275252316519463,3
P88064c1c05,0.0,0
P88205fde52,0.7071067811865476,1
P884e8ee6b6,3.8622100754188224,9
P8884c4fd03,,0
P88f4dbf943,0.7071067811865476,1
P8926a62cc8,2.309401076758503,4
P8935abbbb4,,0
P8961a7643a,,0
P89e5a35bc7,,0
P8a2034c01d,1.4142135623730951,2
P8a2a3c7c07,0.7071067811865476,1
P8b3507dca4,,0
P8be99fecd0,7.447594690010103,20
P8c8d5105c2,4.669047011971501,12
P8cc9424d6a,6.429100507328636,12
P8d3b3436aa,,0
P8d6369038a,0.7071067811865476,1
P8d79cd923c,,0
P8df31bfe17,0.7071067811865476,1
P8e900c2247,,0
P8ecb19c544,2.1213203435596424,3
P8eec131338,4.949747468305833,7
P90932c4b0a,10.816653826391969,21
P90a39c14ab,0.7071067811865476,1
P90a7395cb0,1.7320508075688772,4
P90b2305671,6.27162924074226,13
P9106a597f3,2.1213203435596424,3
P9155961dd2,0.7071067811865476,1
P9180c4596b,2.1213203435596424,3
P919e355315,4.17931413830866,11
P9260f65add,,0
P9264b6e63a,0.7071067811865476,1
P9345155d6a,2.5884358211089573,7
P946b6a7bec,4.932882862316248,9
P94d904f95a,2.8284271247461903,4
P9540818d9f,0.5,1
P95c84fe799,6.363961030678928,9
P964dd1e5f4,0.7071067811865476,1
P9668122fb9,0.7071067811865476,1
P969b4447cc,,0
P96b57657ed,,0
P96bc00aaed,,0
P97df826a61,4.622409184253019,13
P98391b949f,,0
P98436c11b0,,0
P98f1a6546b,,0
P99ed7bd6ab,,0
P9a02cf437c,0.7071067811865476,1
P9a144a10c5,6.363961030678928,9
P9adb5133bc,,0
P9aef7770b8,,0
P9b0b27ae5d,1.4142135623730951,2
P9b3e496395,4.949747468305833,7
P9b4a07a3b9,2.217355782608345,5
P9b886526e3,9.192388155425117,13
P9badd97dfe,4.725815626252608,9
P9c2d575f48,,0
P9caa5193d5,,0
P9cddcdc1ad,,0
P9d178fdf5d,18.384776310850235,26
P9d5ce33ec0,,0
P9d848af991,1.224744871391589,3
P9e732e040b,,0
P9e82692a6d,5.033222956847167,10
P9f04775c7a,2.422120283277993,6
P9f172daeb6,,0
P9f769e6678,2.6457513110645907,5
P9fc884bebd,6.849574196011507,16
P9fd480084b,3.5118845842842457,7
Pa0366802b4,,0
Pa067c50f94,2.886751345948128,7
Pa06f6a14b5,,0
Pa0882490f6,4.43471156521669,10
Pa08fe4841f,,0
Pa090759337,3.5939764421413045,8
Pa245962e52,1.9748417658131499,4
Pa24dadc449,6.363961030678928,9
Pa29e5f68db,2.217355782608345,5
Pa2e8c74c1f,5.813776741499455,16
Pa306b38c4f,0.9574271077563378,2
Pa307fde308,,0
Pa3f4257d20,0.7527726527090809,2
Pa3fa433740,2.872281323269014,7
Pa408da26a2,2.4289915602982237,7
Pa430d00e1f,1.0,2
Pa466887b08,1.4142135623730951,2
Pa4c28f80ad,1.4142135623730951,3
Pa4e79c2199,1.4142135623730951,2
Pa5128e8532,10.9453186340097,29
Pa5d4a8fef6,1.51657508881031,4
Pa6029bb5a6,,0
Pa6b76d042d,3.9370039370059056,9
Pa76a1ce248,9.899494936611665,14
Pa79b34cca8,0.7071067811865476,1
Pa7cb2c7354,,0
Pa7dbf13041,3.559026084010437,7
Pa813594724,0.7071067811865476,1
Pa89859be17,1.9407902170679514,5
Pa8fc4b7ad7,,0
Pa93866e530,13.892443989449804,25
Pa95793f720,1.095445115010332,3
Pa9cae64430,0.0,0
Paa92a86ff3,2.1213203435596424,3
Paac5dcb74c,7.135591542869214,16
Pab39ee5462,1.0488088481701516,3
Pac178f1473,7.937253933193772,15
Paca468f5b5,,0
Pad0b972baf,2.1213203435596424,3
Pad9c27fcb6,6.701989754294367,16
Pada60a9da7,3.7237973450050514,11
Padf63a93ad,6.0553007081949835,14
Pae17b87a4a,1.5275252316519468,3
Pae3adc3ef4,,0
Pae46fa4aa5,2.250925735484551,6
Paee04abbe6,,0
Paf2b091294,3.095695936834451,7
Paf99c23c4d,,0
Pafb050f1ad,7.127411872482185,16
Pafffac98b2,8.524474568362947,19
Pb067831a66,1.4142135623730951,2
Pb0cd5d409b,1.2649110640673518,3
Pb1001f743e,3.5,8
Pb14f594f0a,0.9574271077563382,2
Pb15c668c3a,1.4142135623730951,2
Pb16e641fe9,2.6457513110645907,6
Pb1c5565b99,3.4641016151377544,6
Pb1d497dd3b,,0
Pb1d56c9c96,9.110433579144297,21
Pb2632428b5,2.629955639676583,6
Pb3a7a6f86b,,0
Pb3cfb2c388,6.3966136874651625,14
Pb3e461d4cf,,0
Pb4a7c38947,9.192388155425117,13
Pb4e1522182,1.4142135623730951,2
Pb53e68dfee,,0
Pb69fbd28c6,,0
Pb7270acc46,2.88675134594813,5
Pb74dcb5e35,1.0,2
Pb7d583a85a,3.095695936834452,7
Pb9c495a67d,0.0,0
Pb9eccb67f7,1.707825127659933,4
Pba03162225,3.785938897200183,8
Pba3a4faeb9,2.8284271247461903,4
Pba698d642d,0.816496580927726,2
Pba95727095,4.242640687119285,6
Pbb5225b691,12.662279942148386,24
Pbc4309c829,0.957427107756338,2
Pbccc770021,,0
Pbcdd20a9f9,0.7071067811865476,1
Pbdde11b624,4.163331998932266,8
Pbe6b6d05a9,2.8284271247461903,4
Pbe6ed6fd51,0.7071067811865476,1
Pbea2d75e26,3.5118845842842457,7
Pbf5a7a4d5b,0.7071067811865476,1
Pbfadf35dca,2.309401076758502,4
Pbfdaa31fd0,1.0327955589886446,3
Pbfe4edf289,4.949747468305833,7
Pc00908f11e,,0
Pc074e62881,,0
Pc0a66d6cca,4.358898943540674,8
Pc131e1ee6f,4.163331998932266,8
Pc1416b3728,,0
Pc1c99fe2be,2.1213203435596424,3
Pc25108b74d,,0
Pc2d24d5902,,0
Pc2ef5dcf11,1.1547005383792526,2
Pc32fe4a167,8.48528137423857,12
Pc3390f55d0,0.0,0
Pc3e0235987,1.0,2
Pc4ba85a58f,,0
Pc4f84bc197,2.1213203435596424,3
Pc5a8d9d1d6,0.0,0
Pc5f6ac0bb7,1.4142135623730951,2
Pc624860c4a,3.774917217635376,8
Pc69570e4d2,4.509249752822893,10
Pc97a1282a3,0.0,0
Pc99b219586,14.843629385474879,29
Pc9a85d9349,1.4142135623730951,2
Pcaa6f4e965,1.0,2
Pcabff956fe,7.571877794400365,14
Pcb16689c6c,4.645786621588784,10
Pcb59681372,2.0816659994661326,4
Pcb86ff794b,,0
Pcc7ddb9ab9,0.0,0
Pce2a43b358,2.8284271247461903,4
Pce7c8a9da0,2.3380903889000244,6
Pceb9387e05,,0
Pcf11d56327,,0
Pcf591b3097,7.259476565152614,18
Pcf60b82b9d,,0
Pcf63b744fe,,0
Pd00fce6a5a,,0
Pd018d62aee,9.563820714895625,25
Pd064221ae2,3.0,6
Pd0eaa15469,,0
Pd1118f9ab3,,0
Pd1401169e8,2.1679483388678804,6
Pd17e70140c,3.872983346207417,9
Pd3cfd798be,,0
Pd3d2fde686,6.363961030678928,9
Pd3ead775c1,1.4142135623730951,2
Pd3eb42d2a8,,0
Pd4282e2cb6,0.5773502691896257,1
Pd4287ba490,,0
Pd46f6361f5,,0
Pd4c3f94c64,1.1547005383792526,2
Pd4ca66045e,,0
Pd50459cb6d,4.242640687119285,6
Pd5316f2e65,3.593976442141304,8
Pd59c0506ca,,0
Pd5a40a7ee0,9.192388155425117,13
Pd62847824a,5.412947441089743,14
Pd6b4848f72,7.11102430502573,17
Pd70c9ef8df,0.5,1
Pd742da0a27,9.192388155425117,13
Pd7c989b67a,,0
Pd808e1b5f8,0.0,0
Pd83ff943df,,0
Pd856e50561,0.7071067811865476,1
Pd88f1bdac2,0.7071067811865476,1
Pd8f68848a0,1.8257418583505542,4
Pdb3bcb3fc8,3.5355339059327378,5
Pdb78b3595b,1.4142135623730951,2
Pdb9cad4004,1.4142135623730951,2
Pdbf2a4e286,2.966479394838265,7
Pdc083a80a9,14.849242404917497,21
Pdc49b6ecb0,14.142135623730951,20
Pdcc28d7d6b,1.4142135623730951,2
Pdd1f325a63,,0
Pdd8eeaed18,4.725815626252608,9
Pddcf4609af,4.242640687119285,6
Pdde13713ff,3.5590260840104375,7
Pde7308c87b,0.5773502691896255,1
Pdeabbe5993,7.76745346515403,15
Pdec9ef7c46,1.5000000000000004,3
Pdf5a3388b3,5.128352561983235,12
Pdff50197cb,,0
Pe083952d4c,,0
Pe0b660d280,4.203173404306163,10
Pe1411c667e,12.727922061357855,18
Pe225c37146,8.504900548115383,17
Pe22f69b7a0,2.4832774042918904,6
Pe237a28a37,6.429100507328637,12
Pe28113186c,,0
Pe2eac4ddf4,,0
Pe2f97b33d4,,0
Pe356195976,,0
Pe3864f9800,0.7071067811865476,1
Pe3c0fc5a9e,2.073644135332772,6
Pe46a376580,,0
Pe54f989cc8,6.082762530298219,11
Pe56ae9c7aa,0.7071067811865476,1
Pe581c6d22f,10.016652800877813,20
Pe5fb05fea3,1.4142135623730951,2
Pe60cc64195,0.0,0
Pe661d7acde,2.1213203435596424,3
Pe6c95cf044,,0
Pe6c9de6d86,1.8929694486000914,4
Pe6fe5c747b,1.4142135623730951,2
Pe71646e585,2.8284271247461903,4
Pe728a39ea0,9.291573243177568,18
Pe79de9d05b,2.345207879911715,6
Pea59b43adb,4.949747468305833,7
Peaf1686cc0,1.4142135623730951,2
Peb77360d78,1.7320508075688772,3
Pec8256037d,5.188127472091126,11
Pec96a14b85,0.7071067811865476,1
Ped4ca8f8d6,0.7071067811865476,1
Ped6b9a1a7c,0.816496580927726,2
Peecc71d248,1.0,2
Pefa2378416,,0
Pefc5241948,,0
Pf07b0c62fd,2.8284271247461903,4
Pf0ef0714b6,3.5355339059327378,5
Pf0fd005549,3.605551275463989,7
Pf120e8dc11,4.926120853842977,13
Pf18fe42b62,,0
Pf1b3205a09,0.0,0
Pf1eb0b11c1,4.242640687119285,6
Pf20205fffb,,0
Pf25d15a954,1.5275252316519468,3
Pf271325d7b,1.4142135623730951,2
Pf2b31fcc76,,0
Pf2fe8710f7,,0
Pf38ea886b7,2.5166114784235822,5
Pf3b62cae3c,1.0,2
Pf46613d969,,0
Pf4a65045a1,0.8366600265340752,2
Pf4e651b50c,1.2583057392117918,3
Pf507011aa5,,0
Pf54bd6bbc8,2.217355782608345,5
Pf5ec6d144b,6.6583281184793925,12
Pf5fb4e36b6,,0
Pf6213e9937,6.8068592855540455,13
Pf62abcdcde,2.1213203435596424,3
Pf634b73f97,,0
Pf6db5ed983,,0
Pf781dda14b,7.0710678118654755,10
Pf7cf72315c,18.443607745413225,50
Pf85863f4bd,6.363961030678928,9
Pf8b83ac1f0,,0
Pf93789f1b5,1.4142135623730951,2
Pf99c720027,,0
Pf9ebd1b271,2.1213203435596424,3
Pf9f33f79e7,,0
Pfa4c05beee,2.1213203435596424,3
Pfa7a6f2536,0.816496580927726,2
Pfaef4e4fa0,2.1213203435596424,3
Pfc563b417e,1.154700538379251,2
Pfce02776de,2.9439202887759484,7
Pfd3b474513,1.169045194450012,3
Pfd95ad31d4,,0
Pfdcf13c664,6.363961030678928,9
Pfde95d41d3,,0
Pfe4fcea486,0.0,0
Pfe5913c014,2.6299556396765835,6
Pff77feae98,0.7071067811865476,1
