,,,,Rankings from: 8/12/03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RSCI,Chg,Avg,,,5yr,HS,DT,FS,PS,AS,SS,RC,Total,,Ht,Pos,City,College
1, ,1,,LeBron James,,1,1,1,1,1,1,1,700,,6-7,WF,"Akron, OH",NBA
2, ,2,,Luol Deng,,2,2,2,2,2,2,2,693,,6-8,WF,"Blairstown, NJ",Duke
3,4,5,,Shannon Brown,,3,5,8,3,3,5,6,674,,6-3,WG,"Maywood, IL",Michigan State
4,-1,5,,Ndudi Ebi,,6,3,3,5,4,4,9,673,,6-10,PF,"Houston, TX",NBA
5,-1,7,,Kendrick Perkins,,14,6,4,4,7,7,8,657,,6-10,C,"Beaumont, TX",NBA
6,3,10,,Chris Paul,,7,9,11,9,10,10,11,640,,6-0,PG,"Clemmons, NC",Wake Forest
7,5,10,,David Padgett,,15,4,12,8,5,17,7,639,,6-10,C,"Reno, NV",Kansas
7,-2,10,,Brian Butch,,5,11,7,14,15,11,5,639,,7-0,C,"Appleton, WI",Wisconsin
9,-3,10,,Leon Powe,,17,8,9,6,13,3,13,638,,6-8,PF,"Oakland, CA",California
10,-1,13,,Kris Humphries,,8,18,14,11,17,13,10,616,,6-8,PF,"Minnetonka, MN",Minnesota
11,-4,15,,Vakeaton Wafer,,10,15,13,12,20,12,20,605,,6-5,WG,"Pineville, LA",Florida State
12,1,15,,Brandon Bass,,10,14,15,15,14,14,26,599,,6-8,PF,"Baton Rouge, LA",LSU
13,-2,19,,Olu Famutimi,,9,20,16,21,31,15,19,576,,6-5,WF,"Flint, MI",Arkansas
14, ,19,,Travis Outlaw,,16,17,18,24,6,18,34,574,,5-8,PF,"Starkville, MS",NBA
14,21,19,,Linas Kleiza,,22,13,24,18,12,21,23,574,,6-8,PF,"Rockville, MD",Missouri
14,8,19,,J.R. Giddens,,10,21,25,16,19,20,22,574,,6-5,WF,"Oklahoma City, OK",Kansas
17,1,19,,Mike Jones,,27,22,21,17,18,16,15,571,,6-4,WG,"Braintree, MA",Maryland
18,-2,6,,Charlie Villanueva,*,,7,6,7,8,6,3,569,,6-9,WF,"Blairstown, NJ",Connecticut
19,1,21,,Trevor Ariza,,18,19,23,29,16,24,17,561,,6-8,WF,"Los Angeles, CA",UCLA
20,3,8,,James Lang,*,,12,5,10,9,9,4,557,,6-10,C,"Birmingham, AL",NBA
21,-4,24,,Andrew Lavender,,10,29,20,30,27,35,14,542,,5-7,PG,"Columbus, OH",Oklahoma
22,3,25,,Dion Harris,,33,23,29,25,21,28,18,530,,6-4,WG,"Detroit, MI",Michigan
23,-2,26,,Brandon Cotton,,20,28,22,32,24,19,35,527,,6-0,PG,"Detroit, MI",Michigan State
24,5,26,,Regis Koundjia,,21,27,35,19,23,33,25,524,,6-7,WF,"Laurinburg, NC",LSU
25,-1,14,,Mustafa Shakur,*,,10,10,13,11,8,33,521,,6-3,PG,"Wynnewood, PA",Arizona
26,-12,28,,Ivan Harris,,26,48,19,34,35,25,12,508,,6-8,PF,"Mouth of Wilson, VA",Ohio State
27,7,31,,Ekene Ibekwe,,31,46,26,36,22,30,29,487,,6-8,PF,"Carson, CA",Maryland
28,-2,32,,Richard McBride,,30,32,32,20,46,29,36,482,,6-3,WG,"Springfield, IL",Illinois
29,-2,33,,Chris Taft,,40,43,31,35,39,22,24,473,,6-9,C,"Brooklyn, NY",Pittsburgh
30,-2,34,,Jackie Butler,,40,33,27,26,25,32,56,468,,6-10,C,"McComb, MS",prep school
31,6,35,,Demetrius Nichols,,28,24,36,50,45,41,21,462,,6-7,WF,"Barrington, RI",Syracuse
32, ,37,,Aaron Brooks,,23,37,30,22,38,31,81,445,,5-10,PG,"Seattle, WA",Oregon
33,-14,NA,,Sean Banks,,32,26,28,23,,26,27,444,,6-7,WF,"Oradell, NJ",Memphis
34,11,41,,Darryl Watkins,,62,25,42,31,55,37,37,418,,6-11,C,"Paterson, NJ",Syracuse
35,8,42,,Ayinde Ubaka,,48,52,33,38,30,43,47,416,,6-1,PG,"Oakland, CA",California
36,4,42,,Rodrick Stewart,,25,35,34,37,49,38,76,413,,6-4,WG,"Seattle, WA",Southern Cal
